# r	g(r)
2.500000000000000139e-02 0.000000000000000000e+00
7.500000000000001110e-02 0.000000000000000000e+00
1.250000000000000000e-01 0.000000000000000000e+00
1.750000000000000167e-01 0.000000000000000000e+00
2.250000000000000056e-01 0.000000000000000000e+00
2.750000000000000222e-01 0.000000000000000000e+00
3.250000000000000111e-01 0.000000000000000000e+00
3.750000000000000000e-01 0.000000000000000000e+00
4.250000000000000444e-01 0.000000000000000000e+00
4.750000000000000333e-01 0.000000000000000000e+00
5.250000000000000222e-01 0.000000000000000000e+00
5.750000000000000666e-01 0.000000000000000000e+00
6.250000000000000000e-01 0.000000000000000000e+00
6.750000000000000444e-01 0.000000000000000000e+00
7.250000000000000888e-01 0.000000000000000000e+00
7.750000000000000222e-01 0.000000000000000000e+00
8.250000000000000666e-01 0.000000000000000000e+00
8.750000000000000000e-01 0.000000000000000000e+00
9.250000000000000444e-01 0.000000000000000000e+00
9.750000000000000888e-01 0.000000000000000000e+00
1.025000000000000133e+00 0.000000000000000000e+00
1.074999999999999956e+00 0.000000000000000000e+00
1.125000000000000000e+00 0.000000000000000000e+00
1.175000000000000044e+00 0.000000000000000000e+00
1.225000000000000089e+00 0.000000000000000000e+00
1.275000000000000133e+00 0.000000000000000000e+00
1.325000000000000178e+00 0.000000000000000000e+00
1.375000000000000000e+00 0.000000000000000000e+00
1.425000000000000044e+00 0.000000000000000000e+00
1.475000000000000089e+00 0.000000000000000000e+00
1.525000000000000133e+00 0.000000000000000000e+00
1.575000000000000178e+00 0.000000000000000000e+00
1.625000000000000000e+00 0.000000000000000000e+00
1.675000000000000044e+00 0.000000000000000000e+00
1.725000000000000089e+00 0.000000000000000000e+00
1.775000000000000133e+00 0.000000000000000000e+00
1.825000000000000178e+00 0.000000000000000000e+00
1.875000000000000000e+00 0.000000000000000000e+00
1.925000000000000044e+00 0.000000000000000000e+00
1.975000000000000089e+00 4.331578931295683610e+00
2.024999999999999911e+00 2.449304505160734635e+01
2.075000000000000178e+00 2.616104893541719534e+01
2.125000000000000000e+00 1.060140421405293054e+01
2.175000000000000266e+00 1.785813015447868635e+00
2.225000000000000089e+00 1.896063230787475018e-01
2.274999999999999911e+00 0.000000000000000000e+00
2.325000000000000178e+00 0.000000000000000000e+00
2.375000000000000000e+00 0.000000000000000000e+00
2.425000000000000266e+00 0.000000000000000000e+00
2.475000000000000089e+00 0.000000000000000000e+00
2.525000000000000355e+00 0.000000000000000000e+00
2.575000000000000178e+00 0.000000000000000000e+00
2.625000000000000000e+00 0.000000000000000000e+00
2.675000000000000266e+00 0.000000000000000000e+00
2.725000000000000089e+00 0.000000000000000000e+00
2.775000000000000355e+00 0.000000000000000000e+00
2.825000000000000178e+00 0.000000000000000000e+00
2.875000000000000000e+00 0.000000000000000000e+00
2.925000000000000266e+00 0.000000000000000000e+00
2.975000000000000089e+00 0.000000000000000000e+00
3.025000000000000355e+00 0.000000000000000000e+00
3.075000000000000178e+00 0.000000000000000000e+00
3.125000000000000000e+00 0.000000000000000000e+00
3.175000000000000266e+00 0.000000000000000000e+00
3.225000000000000089e+00 0.000000000000000000e+00
3.275000000000000355e+00 0.000000000000000000e+00
3.325000000000000178e+00 8.490624597956122899e-02
3.375000000000000000e+00 8.240918614462205971e-02
3.425000000000000266e+00 0.000000000000000000e+00
3.475000000000000089e+00 1.554690725844784793e-01
3.525000000000000355e+00 0.000000000000000000e+00
3.575000000000000178e+00 3.672332155606828907e-01
3.625000000000000000e+00 2.143036017650146452e-01
3.675000000000000266e+00 4.170239398078011694e-01
3.725000000000000089e+00 6.088559539185365299e-01
3.775000000000000355e+00 8.563163060839076302e-01
3.825000000000000178e+00 8.340755909518086098e-01
3.875000000000000000e+00 1.125263387390815328e+00
3.925000000000000266e+00 1.462369663539792031e+00
3.975000000000000089e+00 1.604038893839599744e+00
4.025000000000000355e+00 2.085913376615923909e+00
4.075000000000000178e+00 1.808924438859178530e+00
4.125000000000000000e+00 1.986005286977334805e+00
4.174999999999999822e+00 2.531108895841152950e+00
4.225000000000000533e+00 2.313797268011619668e+00
4.275000000000000355e+00 1.900446542346497347e+00
4.325000000000000178e+00 2.308404401875467027e+00
4.375000000000000000e+00 2.255942949579806456e+00
4.424999999999999822e+00 1.677907426027975824e+00
4.475000000000000533e+00 1.171872961394489820e+00
4.525000000000000355e+00 1.604565983858180722e+00
4.575000000000000178e+00 1.166052088254242225e+00
4.625000000000000000e+00 1.097092957858544660e+00
4.674999999999999822e+00 1.030801386733524394e+00
4.725000000000000533e+00 7.568258361910752408e-01
4.775000000000000355e+00 6.587192955876404188e-01
4.825000000000000178e+00 6.854590618886874376e-01
4.875000000000000000e+00 8.689619425308897638e-01
4.925000000000000711e+00 5.031045848194902748e-01
4.975000000000000533e+00 7.585274336964000774e-01
5.025000000000000355e+00 8.178583425972230092e-01
5.075000000000000178e+00 7.289294757891993104e-01
5.125000000000000000e+00 6.075595612799983281e-01
5.175000000000000711e+00 5.958760871264976444e-01
5.225000000000000533e+00 8.252137593437359753e-01
5.275000000000000355e+00 9.108496740466789365e-01
5.325000000000000178e+00 1.026243457481881727e+00
5.375000000000000000e+00 7.473067237142487773e-01
5.425000000000000711e+00 8.611768119062391813e-01
5.475000000000000533e+00 7.515728773139506158e-01
5.525000000000000355e+00 1.045544473914677308e+00
5.575000000000000178e+00 1.057076729747147503e+00
5.625000000000000000e+00 9.196972827236956638e-01
5.675000000000000711e+00 1.107592938277534023e+00
5.725000000000000533e+00 9.164892144401837193e-01
5.775000000000000355e+00 1.041420582199371170e+00
5.825000000000000178e+00 9.129574491872601838e-01
5.875000000000000000e+00 1.033466387059366332e+00
5.925000000000000711e+00 9.893582054312207719e-01
5.975000000000000533e+00 1.314688225544267119e+00
6.025000000000000355e+00 9.826483387803734981e-01
6.075000000000000178e+00 1.195457013893680864e+00
6.125000000000000000e+00 1.150997436835527354e+00
6.175000000000000711e+00 1.083197134385491145e+00
6.225000000000000533e+00 1.283884470587179694e+00
6.275000000000000355e+00 1.120467392738976997e+00
6.325000000000000178e+00 1.548644508449088519e+00
6.375000000000000000e+00 1.293470550206216041e+00
6.425000000000000711e+00 9.095836771793517350e-01
6.475000000000000533e+00 1.186657227381179069e+00
6.525000000000000355e+00 1.344924176274905125e+00
6.575000000000000178e+00 9.771247844610855271e-01
6.625000000000000000e+00 1.326016674998045319e+00
6.675000000000000711e+00 1.095544178677756220e+00
6.725000000000000533e+00 8.925098139460498903e-01
6.775000000000000355e+00 7.975816606637992079e-01
6.825000000000000178e+00 8.866996668529064651e-01
6.875000000000000000e+00 8.937093821027832785e-01
6.925000000000000711e+00 8.808504777570982380e-01
6.975000000000000533e+00 8.875619398245762071e-01
7.025000000000000355e+00 9.510571971182844031e-01
7.075000000000000178e+00 8.251427785319211949e-01
7.125000000000000000e+00 1.035494103038576030e+00
7.175000000000000711e+00 9.481758680635772318e-01
7.225000000000000533e+00 8.451845400665612962e-01
7.275000000000000355e+00 7.626615879558825695e-01
7.325000000000000178e+00 9.272354942266984867e-01
7.375000000000000000e+00 1.104550009748788586e+00
7.425000000000000711e+00 8.683738596966726897e-01
7.475000000000000533e+00 9.071954621435217581e-01
