# t D_xx D_yy D_zz
1.600000000000000000e+01 1.523629432045832830e-08 1.524260730971275654e-08 1.529080089071202446e-08
2.000000000000000000e+01 4.555481733615498224e-09 4.502996925210598646e-09 4.547670294242311290e-09
2.400000000000000000e+01 8.693254741801064977e-09 8.796054623303005332e-09 8.782742432210986030e-09
2.800000000000000000e+01 1.715007711508815270e-08 1.726732186906293562e-08 1.729630631054083024e-08
3.200000000000000000e+01 1.769515764140287243e-08 1.779007677123015916e-08 1.784818878329102380e-08
3.600000000000000000e+01 1.183851642937023617e-08 1.189390138680352000e-08 1.195353183339386070e-08
4.000000000000000000e+01 3.566621570957402414e-09 3.589342621944565572e-09 3.624536430486185327e-09
4.400000000000000000e+01 3.527964404704715922e-09 3.516463189770877192e-09 3.519021071397300501e-09
4.800000000000000000e+01 7.927060386882318225e-09 7.905983916851387579e-09 7.945204047791671652e-09
5.200000000000000000e+01 1.007562667559663551e-08 1.003652791126677487e-08 1.010243209758323351e-08
5.600000000000000000e+01 1.120354920063784807e-08 1.115305045688317606e-08 1.123397052306069242e-08
6.000000000000000000e+01 1.219745562026369620e-08 1.215216161421297673e-08 1.223769255731393815e-08
6.400000000000000000e+01 1.319387221125979212e-08 1.317172037090560176e-08 1.325139790052122978e-08
6.800000000000000000e+01 1.386398709712326448e-08 1.387551137720280577e-08 1.393874238825988898e-08
7.200000000000000000e+01 1.392634555759011689e-08 1.397016725174735443e-08 1.401006870088565545e-08
7.600000000000000000e+01 1.344477656437227442e-08 1.351008334951481801e-08 1.352766778208327497e-08
8.000000000000000000e+01 1.277273288705777714e-08 1.284545252166675755e-08 1.284996589992041196e-08
8.400000000000000000e+01 1.229220087546521225e-08 1.235998909869088841e-08 1.236531751930133200e-08
8.800000000000000000e+01 1.218761576652931571e-08 1.224265887376837195e-08 1.226255307586506358e-08
9.200000000000000000e+01 1.239937540260349930e-08 1.243994937920497683e-08 1.248432676848076031e-08
9.600000000000000000e+01 1.273848726329092330e-08 1.276948672242893583e-08 1.284229582425709639e-08
1.000000000000000000e+02 1.304219057675777803e-08 1.307434627625569914e-08 1.317263952465056373e-08
1.040000000000000000e+02 1.325946133037312873e-08 1.330688985688169612e-08 1.342108490407802901e-08
1.080000000000000000e+02 1.343504206773001941e-08 1.351091178583992459e-08 1.362662949562967019e-08
1.120000000000000000e+02 1.363643692321098986e-08 1.374764016042005574e-08 1.384950556046420399e-08
1.160000000000000000e+02 1.389099473802774607e-08 1.403454112082116891e-08 1.411144095617489388e-08
1.200000000000000000e+02 1.417196351422373068e-08 1.433610057299252564e-08 1.438567422185824367e-08
1.240000000000000000e+02 1.442860431647936774e-08 1.459903590122283641e-08 1.462849092197917124e-08
1.280000000000000000e+02 1.462819529817997079e-08 1.479581629076290714e-08 1.481795386529761198e-08
1.320000000000000000e+02 1.477854431216938010e-08 1.494321364961501656e-08 1.496992799011830313e-08
1.360000000000000000e+02 1.492016495701842838e-08 1.508790952336258989e-08 1.512540142985741874e-08
1.400000000000000000e+02 1.509905017352632060e-08 1.527549476117276908e-08 1.532380824762213171e-08
1.440000000000000000e+02 1.534085730420855668e-08 1.552633083863566660e-08 1.558208360979897379e-08
1.480000000000000000e+02 1.564232843884555052e-08 1.583225640017168110e-08 1.589151176582462024e-08
1.520000000000000000e+02 1.598076709897670099e-08 1.617069261975170086e-08 1.623030439623542311e-08
1.560000000000000000e+02 1.633035076554917882e-08 1.652142839709142493e-08 1.657913278929491479e-08
1.600000000000000000e+02 1.667428421343384548e-08 1.687450101493092801e-08 1.692859746838471163e-08
1.640000000000000000e+02 1.700838524437668761e-08 1.722761548599540077e-08 1.727703694968532477e-08
1.680000000000000000e+02 1.733633073743421253e-08 1.757849443930113339e-08 1.762358391399496710e-08
1.720000000000000000e+02 1.766039040725988235e-08 1.791914767223086750e-08 1.796245512206820279e-08
1.760000000000000000e+02 1.797468175434191483e-08 1.823614529092861823e-08 1.828195712300901713e-08
1.800000000000000000e+02 1.826577535125833024e-08 1.851572445390957736e-08 1.856787362808037369e-08
1.840000000000000000e+02 1.851836388577773380e-08 1.874907321757564068e-08 1.880844847299131663e-08
1.880000000000000000e+02 1.872043020993559029e-08 1.893384571931087364e-08 1.899787788698347421e-08
1.920000000000000000e+02 1.886565205401413620e-08 1.907161840033401993e-08 1.913659540545863564e-08
1.960000000000000000e+02 1.895394986041793970e-08 1.916456959567423748e-08 1.922878522787601710e-08
2.000000000000000000e+02 1.899076072333390078e-08 1.921481523839780443e-08 1.927925268295206195e-08
2.040000000000000000e+02 1.898495318474231866e-08 1.922617243256410384e-08 1.929214275974486919e-08
2.080000000000000000e+02 1.894623773953617375e-08 1.920508359894364976e-08 1.927190789531543883e-08
2.120000000000000000e+02 1.888378513715189561e-08 1.915900247508664559e-08 1.922416846456433337e-08
2.160000000000000000e+02 1.880612998566024658e-08 1.909409460655268244e-08 1.915489349297405619e-08
2.200000000000000000e+02 1.872041659543708513e-08 1.901417574602685266e-08 1.906905089841261549e-08
2.240000000000000000e+02 1.863056458458348755e-08 1.892089586469747602e-08 1.897010597780064404e-08
2.280000000000000000e+02 1.853602303479277041e-08 1.881480173002663445e-08 1.886004247471957720e-08
2.320000000000000000e+02 1.843205840343409123e-08 1.869646882400857451e-08 1.873935078656976908e-08
2.360000000000000000e+02 1.831193601354804209e-08 1.856698835632138920e-08 1.860809521966090939e-08
2.400000000000000000e+02 1.817130491426841621e-08 1.842858725708088845e-08 1.846844674616471056e-08
2.440000000000000000e+02 1.801269549229787757e-08 1.828559979780800172e-08 1.832587190808642037e-08
2.480000000000000000e+02 1.784617152204911452e-08 1.814417255238418744e-08 1.818672725669165548e-08
2.520000000000000000e+02 1.768508220700792934e-08 1.800994904352376635e-08 1.805438784401664806e-08
2.560000000000000000e+02 1.754011692141247619e-08 1.788543335701545047e-08 1.792780896329205256e-08
2.600000000000000000e+02 1.741544777599412136e-08 1.776928354276903728e-08 1.780356634514718120e-08
2.640000000000000000e+02 1.730837575977025873e-08 1.765824307424439302e-08 1.767924171274576629e-08
2.680000000000000000e+02 1.721154873950064260e-08 1.755042909693356317e-08 1.755566656825564840e-08
2.720000000000000000e+02 1.711632411976235229e-08 1.744725933244095054e-08 1.743682331248793660e-08
2.760000000000000000e+02 1.701664627756091025e-08 1.735195210829773170e-08 1.732752602614562323e-08
2.800000000000000000e+02 1.691215192783009130e-08 1.726606504113292719e-08 1.723035422656779043e-08
2.840000000000000000e+02 1.680788074586736420e-08 1.718791712654133056e-08 1.714413746080988691e-08
2.880000000000000000e+02 1.671008006275859452e-08 1.711407166871737748e-08 1.706490771259940297e-08
2.920000000000000000e+02 1.662166523550241722e-08 1.704144974509006479e-08 1.698800007959146378e-08
2.960000000000000000e+02 1.654081708218611158e-08 1.696786313522951757e-08 1.690979419864026839e-08
3.000000000000000000e+02 1.646238975634683419e-08 1.689114658152935728e-08 1.682848503822609990e-08
3.040000000000000000e+02 1.638009590794422695e-08 1.680849421228470353e-08 1.674342650975833413e-08
3.080000000000000000e+02 1.628838248363935465e-08 1.671703264504868683e-08 1.665316144061877227e-08
3.120000000000000000e+02 1.618365103524205890e-08 1.661520460929036582e-08 1.655396346670321142e-08
3.160000000000000000e+02 1.606478009649895439e-08 1.650368238624012324e-08 1.644101861021227995e-08
3.200000000000000000e+02 1.593320278498099702e-08 1.638464509465977011e-08 1.631166446476983310e-08
3.240000000000000000e+02 1.579273512602262343e-08 1.625969375453441767e-08 1.616768823632817054e-08
3.280000000000000000e+02 1.564855339411888145e-08 1.612821200447922137e-08 1.601477671578650187e-08
3.320000000000000000e+02 1.550449878932025912e-08 1.598757923711080520e-08 1.585959419636852566e-08
3.360000000000000000e+02 1.535998405296560688e-08 1.583513000650529999e-08 1.570594256699543405e-08
3.400000000000000000e+02 1.520945486784063573e-08 1.567035584004162138e-08 1.555187256303809771e-08
3.440000000000000000e+02 1.504536810853970670e-08 1.549535504681592934e-08 1.538980726149672502e-08
3.480000000000000000e+02 1.486270960670309173e-08 1.531308598321292582e-08 1.521069884858300038e-08
3.520000000000000000e+02 1.466209302715346496e-08 1.512524703598792599e-08 1.501068177081462519e-08
3.560000000000000000e+02 1.444943129877824039e-08 1.493188042970207972e-08 1.479567258397126844e-08
3.600000000000000000e+02 1.423291829169661664e-08 1.473275888312841515e-08 1.457924354487226943e-08
3.640000000000000000e+02 1.401979567327909683e-08 1.452875241842407279e-08 1.437423563164350071e-08
3.680000000000000000e+02 1.381425613112559320e-08 1.432175185302104420e-08 1.418434680829057108e-08
3.720000000000000000e+02 1.361631585004544520e-08 1.411354476404417468e-08 1.400170487747345206e-08
3.760000000000000000e+02 1.342162064653834015e-08 1.390504405249008769e-08 1.381175277015164964e-08
3.800000000000000000e+02 1.322309620698016318e-08 1.369640996627791671e-08 1.360246160712342289e-08
3.840000000000000000e+02 1.301479729508490701e-08 1.348751872920031125e-08 1.337212922319437803e-08
3.880000000000000000e+02 1.279609554856397219e-08 1.327835993094403139e-08 1.313053305985866392e-08
3.920000000000000000e+02 1.257288281948359266e-08 1.306923926256150234e-08 1.289284470082330296e-08
3.960000000000000000e+02 1.235410629685466569e-08 1.286080336057135781e-08 1.267093410555230290e-08
4.000000000000000000e+02 1.214605380489632588e-08 1.265415924814306786e-08 1.246809832650799479e-08
4.040000000000000000e+02 1.194883675764081297e-08 1.245089000054814261e-08 1.227971575749750981e-08
4.080000000000000000e+02 1.175738465743306486e-08 1.225243671777702262e-08 1.209777981120949455e-08
4.120000000000000000e+02 1.156589914819495550e-08 1.205896306500319312e-08 1.191559957784866109e-08
4.160000000000000000e+02 1.137218330016151501e-08 1.186854273210729845e-08 1.172990315936775712e-08
4.200000000000000000e+02 1.117828665926128665e-08 1.167798096836903125e-08 1.154018642161278776e-08
