# tau vacf_xx vacf_yy vacf_zz
1.000000000000000000e+00 5.676405373197572224e-09 5.692658457099450889e-09 5.698955323374160473e-09
2.000000000000000000e+00 1.864744706738310632e-09 1.864825695043369094e-09 1.872164858137581358e-09
3.000000000000000000e+00 -1.787747626445030166e-09 -1.801006192329811843e-09 -1.797884594293309717e-09
4.000000000000000000e+00 -3.552658666976384872e-09 -3.568798999921266895e-09 -3.573680703941547284e-09
5.000000000000000000e+00 -3.071709570731896728e-09 -3.080726774335535508e-09 -3.091525659285100962e-09
6.000000000000000000e+00 -1.156701615911646718e-09 -1.154906848544430257e-09 -1.165256279879821761e-09
7.000000000000000000e+00 8.841613527542873683e-10 8.935293974608183870e-10 8.893150435047256020e-10
8.000000000000000000e+00 2.044159253262030865e-09 2.054558294752501709e-09 2.058013431443855947e-09
9.000000000000000000e+00 2.091788175944383532e-09 2.097721087676975504e-09 2.106484270009981325e-09
1.000000000000000000e+01 1.455504811886675843e-09 1.455181818180745878e-09 1.465294480931761589e-09
1.100000000000000000e+01 7.440431792021253083e-10 7.395785453595091090e-10 7.477970072654235723e-10
1.200000000000000000e+01 3.302399651550336421e-10 3.256934518481840179e-10 3.308170176303573590e-10
1.300000000000000000e+01 2.337212973655729507e-10 2.325678209600170427e-10 2.349521951083724548e-10
1.400000000000000000e+01 2.632319124473511632e-10 2.669877577048831396e-10 2.669088220182501545e-10
1.500000000000000000e+01 2.349763830506964895e-10 2.427916206414294776e-10 2.399438495853952473e-10
1.600000000000000000e+01 1.000810598810399472e-10 1.091038825071724754e-10 1.037283942839347765e-10
1.700000000000000000e+01 -6.890182964761261827e-11 -6.177594523489747452e-11 -6.806523797105010809e-11
1.800000000000000000e+01 -1.718826669613087304e-10 -1.682660058813706283e-10 -1.731352214301398478e-10
1.900000000000000000e+01 -1.641391716959399889e-10 -1.640494080426592930e-10 -1.657157196512918623e-10
2.000000000000000000e+01 -7.612683410034203051e-11 -7.868230344527510885e-11 -7.660847065824794894e-11
2.100000000000000000e+01 2.383427963239400057e-11 2.001719098401672792e-11 2.522624894011385162e-11
2.200000000000000000e+01 8.204553840469752000e-11 7.862806173428595771e-11 8.566059736773457343e-11
2.300000000000000000e+01 8.751039193901441319e-11 8.614060987769387841e-11 9.332393052043329786e-11
2.400000000000000000e+01 6.434126479441262839e-11 6.628916703568792098e-11 7.184791967629998349e-11
